Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Ryan Arcidiacono,PG,24,CHI,81,1961,418,81,217,102,219,269,65,4,544,207
Trevor Ariza,SF,33,TOT,69,2349,736,145,434,164,371,252,91,21,863,318.83
D.J. Augustin,PG,31,ORL,81,2269,677,131,311,209,203,426,52,4,948,311.78
Deandre Ayton,C,20,PHO,71,2183,870,0,4,189,729,125,61,67,1159,364.88
Dwayne Bacon,SG,23,CHO,43,759,257,38,87,46,89,47,12,5,316,96.85
Marvin Bagley III,PF,19,SAC,62,1567,706,30,96,262,471,62,33,59,923,283.1
Ron Baker,SG,25,TOT,15,152,20,1,13,6,11,15,6,1,14,9.9
Wade Baldwin,PG,22,POR,16,94,33,2,9,11,15,12,1,2,30,12.92
Lonzo Ball,PG,21,LAL,47,1423,456,75,228,48,251,255,69,19,465,201.6
Mo Bamba,C,20,ORL,47,766,243,21,70,63,233,39,13,64,292,115.12
J.J. Barea,PG,34,DAL,38,752,385,38,128,78,95,211,22,1,415,146.5
Harrison Barnes,PF-SF,26,TOT,77,2533,1027,174,441,278,361,115,50,13,1265,380.38
Will Barton,SF,28,DEN,43,1189,460,67,196,74,199,124,18,22,494,174.7
Keita Bates-Diop,SF,23,MIN,30,503,142,13,52,28,83,17,18,14,151,56.43
Nicolas Batum,SF,30,CHO,75,2354,562,116,298,89,390,247,71,43,699,271.8
Jerryd Bayless,PG,30,MIN,34,657,230,29,98,28,62,119,18,2,209,85.3
Aron Baynes,C,32,BOS,51,821,223,21,61,62,240,57,12,34,284,111.2
Kent Bazemore,SG,29,ATL,67,1643,691,96,300,175,261,152,89,42,779,268.48
Bradley Beal,SG,25,WAS,82,3028,1609,209,596,448,411,448,121,58,2099,621.08
Malik Beasley,SG,22,DEN,81,1879,737,163,405,66,200,97,55,10,917,277.85
Michael Beasley,PF,30,LAL,26,277,153,3,17,39,60,25,9,10,181,55
Marco Belinelli,SG,32,SAS,79,1815,690,147,395,124,198,132,35,8,829,262.72
Jordan Bell,C,24,GSW,68,788,192,0,2,41,184,76,20,51,223,94.68
DeAndre' Bembry,SG,24,ATL,82,1931,616,50,173,136,358,202,105,41,687,258.92
Dragan Bender,PF,21,PHO,46,826,197,22,101,54,183,56,18,22,230,95.38
Dairis Bertāns,SG,29,NOP,12,167,47,10,34,0,9,10,1,0,34,15.05
Dāvis Bertāns,PF,26,SAS,76,1632,453,145,338,60,264,100,35,33,606,213.65
Patrick Beverley,PG,30,LAC,78,2137,477,112,282,123,388,300,67,43,596,256.18
Khem Birch,C,26,ORL,50,643,151,0,1,83,190,38,18,29,240,85.35
Bismack Biyombo,C,26,CHO,54,783,156,0,0,91,247,33,11,41,236,92.93
Nemanja Bjelica,PF,30,SAC,77,1788,593,103,257,92,444,147,54,56,741,270.78
Antonio Blakeney,SG,22,CHI,57,829,396,36,91,76,106,42,12,9,418,127.3
Eric Bledsoe,PG,29,MIL,78,2272,971,124,377,236,362,430,116,29,1241,412.35
Jaron Blossomgame,SF,25,CLE,27,439,106,10,39,13,98,13,7,8,114,45.9
Bogdan Bogdanović,SG,26,SAC,70,1947,863,134,372,162,243,267,72,15,990,325.97
Bojan Bogdanović,SF,29,IND,81,2573,1051,164,386,305,333,161,69,1,1454,406.75
Andrew Bogut,C,34,GSW,11,134,36,0,0,3,55,11,3,8,39,19
Jonah Bolden,PF,23,PHI,44,639,162,34,96,27,165,40,17,39,207,86.88
Isaac Bonga,PG,19,LAL,22,120,33,0,8,15,25,15,9,4,19,14.72
Devin Booker,SG,22,PHO,64,2242,1255,135,414,454,265,433,56,13,1700,484.22
Chris Boucher,PF,26,TOR,28,163,76,12,37,15,56,2,6,24,93,35.75
Avery Bradley,SG,28,TOT,63,1905,608,86,245,50,175,152,41,16,625,213.75
Tony Bradley,C,21,UTA,3,36,16,0,0,2,15,1,2,2,17,6.5
Corey Brewer,SF,32,TOT,31,492,123,14,44,43,76,39,32,7,151,57.43
Mikal Bridges,SF,22,PHO,82,2417,563,105,313,118,264,173,129,38,684,252.55
Miles Bridges,SF,20,CHO,80,1696,511,65,200,77,323,95,55,49,597,215.4
Isaiah Briscoe,PG,22,ORL,39,559,138,11,34,26,74,87,11,2,136,58.92
Ryan Broekhoff,SG,28,DAL,42,453,126,38,93,19,63,22,6,4,167,57.42
Malcolm Brogdon,SG,26,MIL,64,1832,748,104,244,152,288,205,46,13,1001,300.12
Dillon Brooks,SF,23,MEM,18,330,122,15,40,30,31,16,10,4,135,42.3
MarShon Brooks,SG,30,MEM,29,387,169,15,54,33,45,25,9,4,190,58.23
Bruce Brown,SG,22,DET,74,1449,314,24,93,60,185,91,40,36,319,129.38
Jaylen Brown,SG,22,BOS,74,1913,792,95,276,202,313,100,69,32,964,297.85
Lorenzo Brown,PG,28,TOR,26,212,71,6,28,3,31,28,12,5,55,27.5
Sterling Brown,SG,23,MIL,58,1034,312,53,147,42,184,84,25,8,372,133.38
Troy Brown Jr.,SF,19,WAS,52,730,234,22,69,47,145,80,21,5,248,96.5
Jalen Brunson,PG,22,DAL,73,1591,565,63,181,120,169,230,37,4,678,220.07
Thomas Bryant,C,21,WAS,72,1496,502,33,99,137,454,92,25,67,758,241.78
Reggie Bullock,SG,27,TOT,63,1879,594,148,393,85,173,129,40,12,711,233.83
Trey Burke,PG,26,TOT,58,1125,548,56,159,124,99,159,33,7,631,191.93
Alec Burks,SG,27,TOT,64,1375,474,61,168,141,235,128,39,21,561,193.23
Deonte Burton,SG,25,OKC,32,240,82,8,27,12,28,9,6,8,82,29.68
Jimmy Butler,SF-SG,29,TOT,65,2185,904,67,193,365,342,263,123,39,1215,368.5
Bruno Caboclo,PF,23,MEM,34,800,225,48,130,50,158,50,14,33,282,104.72
José Calderón,PG,37,DET,49,632,120,14,57,11,60,115,16,3,113,58.58
Kentavious Caldwell-Pope,SG,25,LAL,82,2035,756,151,435,158,238,110,73,13,938,294.05
Isaiah Canaan,PG,27,TOT,30,629,164,34,96,24,58,84,14,2,181,69.83
Clint Capela,C,24,HOU,67,2249,732,0,0,261,848,96,44,102,1114,360.25
DeMarre Carroll,PF,32,BRK,67,1703,575,106,310,242,349,85,31,10,744,247.05
Jevon Carter,PG,23,MEM,39,577,185,34,102,32,66,69,26,11,172,73.73
Vince Carter,PF,42,ATL,76,1330,468,123,316,66,194,87,44,27,562,196.5
Wendell Carter Jr.,C,19,CHI,44,1110,371,6,32,112,307,78,26,58,455,160.9
Michael Carter-Williams,PG,27,TOT,28,372,123,10,38,53,70,70,20,15,134,57.25
Alex Caruso,PG,24,LAL,25,531,173,24,50,64,67,77,24,9,229,76.42
Omri Casspi,SF,30,MEM,36,520,161,15,43,58,115,26,20,9,226,73.4
Willie Cauley-Stein,C,25,SAC,81,2213,741,1,2,254,678,194,96,51,965,334.72
Troy Caupain,PG,23,ORL,4,16,8,2,3,0,3,4,1,0,10,3.7
Tyler Cavanaugh,PF,24,UTA,11,39,10,1,5,2,8,1,0,0,9,4.47
Tyson Chandler,C,36,TOT,55,875,99,0,1,87,307,37,21,23,173,86.37
Wilson Chandler,PF-SF,31,TOT,51,1177,273,59,158,25,215,82,25,21,305,126.55
Joe Chealey,PG,23,CHO,1,8,3,0,0,0,0,1,0,0,2,0.75
Chris Chiozza,PG,23,HOU,7,33,8,2,5,0,4,4,1,1,6,3.78
Marquese Chriss,PF,21,TOT,43,499,180,16,72,45,142,22,17,11,182,74.3
Gary Clark,PF,24,HOU,51,641,151,41,138,7,116,18,20,26,148,71.1
Ian Clark,SG,27,NOP,60,973,383,66,202,37,89,94,22,8,401,137.18
Jordan Clarkson,SG,26,CLE,81,2214,1180,144,445,192,270,196,57,13,1364,403.02
John Collins,PF,21,ATL,61,1829,831,55,158,266,595,121,22,39,1188,353.35
Zach Collins,C,21,POR,77,1356,400,40,121,126,324,71,25,66,512,183.72
Darren Collison,PG,31,IND,76,2143,659,79,194,190,232,459,110,9,853,301.82
Bonzie Colson,SF,23,MIL,8,98,39,5,21,9,30,3,5,1,39,16.03
Mike Conley,PG,31,MEM,70,2342,1120,155,426,406,239,449,94,22,1478,449.45
Pat Connaughton,SG,26,MIL,61,1261,350,66,200,40,258,122,33,25,421,164.55
Quinn Cook,PG,25,GSW,74,1059,439,81,200,26,157,116,20,3,509,168.82
DeMarcus Cousins,C,28,GSW,30,771,371,26,95,144,247,107,40,44,488,166.05
Robert Covington,SF,28,TOT,35,1203,362,85,225,89,193,46,74,47,465,163.92
Allen Crabbe,SG,26,BRK,43,1133,373,98,259,56,148,46,23,13,413,145.05
Torrey Craig,SF,28,DEN,75,1503,362,61,188,70,263,72,37,46,430,165.08
Jamal Crawford,SG,38,PHO,64,1211,438,67,202,110,85,229,33,12,508,176.52
Mitch Creek,SF,26,TOT,5,48,16,0,2,7,12,6,2,0,21,7.38
Jae Crowder,SF,28,UTA,80,2166,797,173,522,197,384,133,64,31,951,329.4
Dante Cunningham,PF,31,SAS,64,928,158,30,65,18,188,50,27,13,194,86.3
Seth Curry,SG,28,POR,74,1399,465,113,251,52,120,66,36,12,581,179.08
Stephen Curry,PG,30,GSW,69,2331,1340,354,810,287,369,361,92,25,1881,563.25
Troy Daniels,SG,27,PHO,51,760,275,74,194,23,73,26,26,5,318,105
Anthony Davis,C,25,NOP,56,1850,1026,48,145,433,672,218,88,135,1452,450.3
Deyonta Davis,C,22,ATL,9,118,22,0,1,10,36,5,3,5,36,13.8
Ed Davis,C,29,BRK,81,1446,302,0,2,162,694,61,35,33,472,202.3
Tyler Davis,C,21,OKC,1,1,1,0,0,0,1,0,0,0,0,0.3
Dewayne Dedmon,C,29,ATL,64,1609,526,83,217,113,480,90,69,71,693,254.75
Sam Dekker,PF,24,TOT,47,788,256,19,62,46,148,46,38,7,287,101.03
Ángel Delgado,C,24,LAC,2,15,5,0,0,2,4,0,1,0,3,1.7
Matthew Dellavedova,PG,28,TOT,48,812,242,44,130,52,77,181,14,2,282,109.5
Luol Deng,SF,33,MIN,22,392,118,14,44,35,73,18,15,8,157,51.8
DeMar DeRozan,SG,29,SAS,77,2688,1313,7,45,441,462,475,86,36,1635,487.8
Marcus Derrickson,PF,22,GSW,11,67,33,10,20,5,13,1,0,1,46,13.88
Cheick Diallo,PF,22,NOP,64,896,271,1,4,67,332,33,29,33,387,135.63
Hamidou Diallo,SG,20,OKC,51,526,165,4,24,59,97,17,21,10,190,65.28
Gorgui Dieng,C,29,MIN,76,1031,377,19,56,106,311,72,48,41,485,170.38
Spencer Dinwiddie,PG,25,BRK,68,1914,828,124,370,356,166,311,40,17,1143,337.32
Donte DiVincenzo,SG,22,MIL,27,411,124,22,83,12,65,31,13,6,131,51.83
Luka Dončić,SG,19,DAL,72,2318,1186,168,514,485,563,429,77,25,1526,506.12
Tyler Dorsey,SG,22,TOT,48,698,264,44,132,61,113,56,14,2,296,102.65
Damyean Dotson,SG,24,NYK,73,2004,698,126,342,98,262,135,58,10,779,262.92
PJ Dozier,SG,22,BOS,6,51,21,2,8,2,17,5,2,0,19,8.57
Goran Dragić,PG,32,MIA,36,991,433,57,164,101,111,174,30,5,494,164.17
Andre Drummond,C,25,DET,79,2647,1052,5,38,412,1232,112,136,138,1370,497.32
Jared Dudley,PF,33,BRK,59,1220,239,53,151,46,155,83,36,16,287,114.45
Kris Dunn,PG,24,CHI,46,1389,506,34,96,69,187,277,68,21,519,197.98
Kevin Durant,SF,30,GSW,78,2702,1383,137,388,506,497,457,58,84,2027,580.28
Trevon Duval,PG,20,MIL,3,6,3,1,1,0,1,2,0,0,5,1.68
Vince Edwards,SF,22,HOU,2,16,4,1,4,0,2,0,0,0,3,1.48
Henry Ellenson,PF,22,TOT,19,259,95,17,38,25,66,16,7,2,114,40.78
Wayne Ellington,SG,31,TOT,53,1297,457,138,372,49,107,72,54,6,545,181.3
Joel Embiid,C,24,PHI,64,2154,1199,79,263,649,871,234,46,122,1761,541.22
James Ennis,SF,28,TOT,58,1230,294,55,156,81,182,41,41,23,389,133.58
Drew Eubanks,PF,21,SAS,23,113,26,0,0,13,34,7,2,5,41,15.77
Jacob Evans,SG,21,GSW,30,204,53,4,15,1,25,23,5,3,40,20.72
Jawun Evans,PG,22,TOT,8,65,14,0,3,0,12,10,3,0,6,6.03
Tyreke Evans,SG,29,IND,69,1402,660,77,216,160,201,166,58,18,706,237.3
Dante Exum,PG,23,UTA,42,664,241,18,62,86,68,110,14,5,288,94.92
Kenneth Faried,C,29,TOT,37,728,265,8,25,99,250,20,17,23,384,120.55
Derrick Favors,C,27,UTA,76,1766,619,17,78,228,560,89,56,106,897,292.4
Cristiano Felício,C,26,CHI,60,746,179,0,4,73,218,37,11,7,240,88.55
Raymond Felton,PG,34,OKC,33,379,135,20,61,13,34,52,10,6,142,51.85
Terrance Ferguson,SG,20,OKC,74,1931,431,106,290,51,141,72,40,16,513,172.78
Yogi Ferrell,PG,25,SAC,71,1067,352,54,149,67,109,137,36,4,420,143.3
Dorian Finney-Smith,SF,25,DAL,81,1985,528,79,254,103,389,95,69,36,608,231.67
Bryn Forbes,SG,25,SAS,82,2293,791,176,413,78,239,175,45,4,967,304.2
Evan Fournier,SG,26,ORL,81,2553,1069,153,450,170,258,295,71,12,1226,387.78
De'Aaron Fox,PG,21,SAC,81,2546,1102,86,232,417,304,590,133,45,1399,455.78
Melvin Frazier,SG,22,ORL,10,44,21,0,6,4,5,1,1,0,15,6
Tim Frazier,PG,28,TOT,59,1120,261,37,101,54,168,248,30,5,310,135.75
Jimmer Fredette,SG,29,PHO,6,65,29,0,13,6,7,8,3,0,22,9.15
Channing Frye,C,35,CLE,36,341,117,32,79,14,52,20,6,5,129,48.4
Markelle Fultz,SG,20,PHI,19,427,155,4,14,37,70,59,17,5,155,57.2
Danilo Gallinari,SF,30,LAC,68,2059,884,161,372,406,417,178,49,23,1346,389.98
Langston Galloway,SG,27,DET,80,1745,587,135,380,96,171,85,37,8,672,221.22
Billy Garrett,SG,24,NYK,4,63,27,0,8,4,3,7,1,1,26,8.25
Marc Gasol,C,34,TOT,79,2436,870,99,273,253,627,349,84,86,1071,399.92
Pau Gasol,C,38,TOT,30,360,94,6,13,40,137,52,5,15,118,54.77
Rudy Gay,PF,32,SAS,69,1842,746,74,184,147,470,182,54,34,946,310.8
Paul George,SF,28,OKC,77,2841,1614,292,757,540,628,318,170,34,2159,661.35
Taj Gibson,PF,33,MIN,70,1686,537,11,34,177,458,84,53,39,753,239.55
Harry Giles,PF,20,SAC,58,820,348,0,6,91,222,85,31,22,408,137.72
Shai Gilgeous-Alexander,PG,20,LAC,82,2174,716,51,139,195,232,270,96,45,889,286.18
Rudy Gobert,C,26,UTA,81,2577,712,0,0,522,1041,161,66,187,1284,432.7
Brandon Goodwin,PG,23,DEN,16,57,23,2,6,11,3,14,0,0,23,9.28
Aaron Gordon,PF,23,ORL,78,2633,1046,121,347,253,574,289,57,56,1246,423.97
Eric Gordon,SG,30,HOU,68,2158,938,216,600,152,148,129,41,27,1103,335.3
Marcin Gortat,C,34,LAC,47,751,186,0,0,48,261,65,6,24,233,96.95
Devonte' Graham,PG,23,CHO,46,676,216,34,121,46,63,121,23,2,217,88.9
Treveon Graham,SG,25,BRK,35,715,191,38,128,22,107,34,13,7,184,75.6
Jerami Grant,PF,24,OKC,80,2612,823,115,293,221,417,79,61,100,1090,338.35
Jerian Grant,PG,26,ORL,60,939,220,40,110,40,98,156,44,6,250,106.25
Donte Grantham,SF,23,OKC,3,2,2,0,2,0,0,0,0,0,0,0.52
Danny Green,SG,31,TOR,80,2216,630,198,435,44,317,126,73,53,821,285.4
Draymond Green,PF,28,GSW,66,2065,422,47,165,91,481,454,95,70,486,260.62
Gerald Green,SG,33,HOU,73,1473,578,156,441,68,182,40,33,27,675,222.25
JaMychal Green,PF,28,TOT,65,1371,476,71,176,101,409,50,45,34,611,214.52
Jeff Green,PF,32,WAS,77,2097,687,111,320,206,309,137,43,39,946,290.98
Blake Griffin,PF,29,DET,75,2622,1341,189,522,550,565,402,52,28,1841,559.48
Daniel Hamilton,SG,23,ATL,19,204,60,8,23,6,47,22,6,1,57,26.15
Dusty Hannahs,SG,25,MEM,2,26,12,0,5,2,1,5,1,0,8,3.52
Tim Hardaway Jr.,SG,26,TOT,65,2057,993,162,477,276,222,159,54,8,1174,353.25
James Harden,PG,29,HOU,78,2867,1909,378,1028,858,518,586,158,58,2818,824.65
Maurice Harkless,SF,25,POR,60,1415,388,33,120,73,269,74,67,53,460,169.8
Montrezl Harrell,C,25,LAC,82,2158,888,3,17,414,535,162,71,110,1361,386.33
Devin Harris,PG,35,DAL,68,1071,347,62,200,134,112,122,35,16,428,148.48
Gary Harris,SG,24,DEN,57,1639,637,82,242,144,160,127,55,19,737,229.12
Joe Harris,SG,27,BRK,76,2293,748,183,386,133,291,181,38,17,1041,317.42
Tobias Harris,PF,26,TOT,82,2847,1254,156,393,307,645,229,51,37,1644,500.23
Andrew Harrison,PG,24,TOT,17,187,53,5,25,18,20,24,4,2,54,21.78
Shaquille Harrison,SG,25,CHI,73,1430,426,24,89,123,222,139,89,30,474,177.25
Josh Hart,SG,23,LAL,67,1715,464,92,274,80,248,93,64,40,525,197.57
Isaiah Hartenstein,PF,20,HOU,28,221,41,2,6,14,47,15,7,12,53,23.8
Udonis Haslem,C,38,MIA,10,74,33,0,12,4,27,2,0,0,25,11.5
Gordon Hayward,PF,28,BOS,72,1863,635,77,231,187,322,244,62,23,825,277.32
John Henson,C,28,MIL,14,188,67,11,31,10,71,14,7,11,79,33.4
Juan Hernangómez,PF,23,DEN,70,1358,314,66,181,86,265,55,27,24,408,151.82
Willy Hernangómez,C,24,CHO,58,812,295,15,39,144,311,60,16,20,421,144.4
Mario Hezonja,SF,23,NYK,58,1206,464,42,152,114,239,88,57,8,511,178.27
Isaiah Hicks,PF,24,NYK,3,32,8,0,0,5,7,2,1,3,12,4.28
Buddy Hield,SG,26,SAC,82,2615,1360,278,651,193,412,205,58,33,1695,507.7
Haywood Highsmith,SF,22,PHI,5,40,10,1,5,2,5,2,1,0,9,3.9
Nenê,C,36,HOU,42,546,116,0,3,47,123,26,18,15,151,57.7
George Hill,PG,32,TOT,60,1302,376,48,153,85,148,135,52,8,458,156.8
Solomon Hill,SF,27,NOP,44,878,178,32,101,32,133,55,23,10,191,81.65
Aaron Holiday,PG,22,IND,50,646,262,43,127,50,67,87,21,13,294,102.1
Jrue Holiday,SG,28,NOP,67,2402,1159,118,363,271,334,518,109,54,1420,462.03
Justin Holiday,SG,29,TOT,82,2607,777,162,465,106,323,146,121,36,857,311.32
John Holland,SF,30,CLE,1,1,0,0,0,0,0,0,0,0,0,0.07
Rondae Hollis-Jefferson,SF,24,BRK,59,1234,487,9,49,183,310,96,44,27,527,186.55
Richaun Holmes,C,25,PHO,70,1184,365,0,0,175,331,60,42,79,572,181.62
Rodney Hood,SG,26,TOT,72,1893,671,84,236,155,157,126,59,12,805,241.45
Al Horford,C,32,BOS,68,1973,723,73,203,95,458,283,59,86,925,323.6
Danuel House,SF,25,HOU,39,979,252,74,178,71,140,40,21,11,366,118.45
Dwight Howard,C,33,WAS,9,230,69,0,0,48,83,4,7,4,115,35.4
Kevin Huerter,SG,20,ATL,75,2048,657,136,353,56,245,214,65,25,727,263.48
Isaac Humphries,C,21,ATL,5,56,21,3,11,0,11,0,1,0,15,6.7
R.J. Hunter,SG,25,BOS,1,26,13,4,10,2,3,3,1,0,17,5.32
Chandler Hutchison,SF,22,CHI,44,895,209,14,50,38,185,34,23,6,229,88.68
Serge Ibaka,C,29,TOR,74,2010,877,49,169,177,601,99,29,103,1112,354.02
Andre Iguodala,SF,35,GSW,68,1578,302,48,144,67,252,216,61,51,389,170.1
Ersan İlyasova,PF,31,MIL,67,1231,381,58,160,74,302,52,32,20,453,166.15
Joe Ingles,PF,31,UTA,82,2568,802,189,483,123,330,469,98,20,994,371.35
Andre Ingram,SG,33,LAL,4,15,6,0,3,0,2,0,1,0,0,1.43
Brandon Ingram,SF,21,LAL,52,1760,729,31,94,289,267,154,28,31,950,270.58
Kyrie Irving,PG,26,BOS,67,2214,1241,174,434,245,335,464,103,34,1596,490.85
Jonathan Isaac,PF,21,ORL,75,1996,611,86,266,135,411,80,59,98,720,263
Wesley Iwundu,SF,24,ORL,68,1233,274,29,79,103,184,73,28,22,339,122.68
Demetrius Jackson,PG,24,PHI,6,39,15,2,6,4,3,5,2,0,22,6.55
Frank Jackson,PG,20,NOP,61,1169,447,53,169,73,134,69,25,2,495,155.48
Jaren Jackson Jr.,PF,19,MEM,58,1515,589,51,142,197,272,64,52,82,798,238.88
Josh Jackson,SG,21,PHO,79,1988,841,73,225,213,347,183,74,56,910,310.15
Justin Jackson,SF,23,TOT,81,1614,485,87,245,79,212,96,32,14,583,194.62
Reggie Jackson,PG,28,DET,82,2289,1047,174,471,236,216,344,55,9,1260,393.2
LeBron James,SF,34,LAL,55,1937,1095,111,327,418,465,454,72,33,1505,467.65
Amile Jefferson,PF,25,ORL,12,68,16,0,0,8,21,3,3,3,27,9.82
John Jenkins,SG,27,TOT,26,333,105,22,58,18,37,22,0,2,121,40.75
Jonas Jerebko,PF,31,GSW,73,1218,355,69,188,80,288,96,27,18,459,170.28
Alize Johnson,PF,22,IND,14,64,16,1,2,8,19,1,1,3,13,7.68
Amir Johnson,C,31,PHI,51,529,157,12,40,41,147,60,16,13,201,78.38
B.J. Johnson,SF,23,TOT,7,49,18,3,7,2,8,0,2,0,23,7.15
James Johnson,PF,31,MIA,55,1164,379,50,149,70,176,135,35,27,428,156.35
Stanley Johnson,SF,22,TOT,66,1208,440,62,215,64,217,88,60,14,454,171.62
Tyler Johnson,PG,26,TOT,57,1529,526,90,260,127,173,166,54,27,619,211.93
Wesley Johnson,SF,31,TOT,38,534,128,25,76,19,72,23,14,12,128,53.55
Nikola Jokić,C,23,DEN,80,2504,1206,83,270,352,865,580,108,55,1604,558.7
Damian Jones,C,23,GSW,24,410,74,0,0,37,75,28,12,25,130,43.88
Derrick Jones Jr.,SF,21,MIA,60,1153,324,28,91,122,240,37,46,42,422,145.68
Jalen Jones,SF,25,CLE,16,214,62,10,28,27,34,7,9,2,81,27.1
Jemerrio Jones,SF,23,LAL,6,143,33,2,10,2,49,13,7,5,27,17.12
Terrence Jones,PF,27,HOU,2,5,4,0,2,1,4,0,0,0,2,1.43
Tyus Jones,PG,22,MIN,68,1560,446,40,126,69,134,327,81,5,468,188.6
DeAndre Jordan,C,30,TOT,69,2047,446,0,0,264,902,156,42,73,758,297.75
Cory Joseph,PG,27,IND,82,2063,548,55,171,43,279,321,94,22,537,232.7
Frank Kaminsky,C,25,CHO,47,755,298,50,139,107,163,63,12,12,405,129.83
Enes Kanter,C,26,TOT,67,1640,683,10,34,197,659,116,32,26,915,299.45
Luke Kennard,SG,22,DET,63,1437,520,106,269,61,183,114,26,10,613,200.55
Michael Kidd-Gilchrist,PF,25,CHO,64,1179,332,16,47,123,246,61,32,39,427,145.65
George King,SF,25,PHO,1,6,0,0,0,0,1,0,0,0,0,0.2
Maxi Kleber,PF,27,DAL,71,1502,386,77,218,74,329,70,36,78,485,189.12
Brandon Knight,PG,27,TOT,39,736,260,41,129,34,59,71,21,2,266,92.7
Kevin Knox,PF,19,NYK,75,2158,914,125,364,226,335,82,43,24,963,314.25
Furkan Korkmaz,SG,21,PHI,48,679,245,47,144,44,107,52,29,2,279,99.73
Luke Kornet,PF,23,NYK,46,784,283,70,193,46,135,54,27,42,322,122.05
Kyle Korver,SG-PF,37,TOT,70,1334,483,138,348,73,162,81,25,12,600,196.58
Kosta Koufos,C,29,SAC,42,502,153,0,0,24,177,36,15,18,156,69.3
Rodions Kurucs,SF,20,BRK,63,1294,449,58,184,92,246,52,41,25,534,179.18
Kyle Kuzma,PF,23,LAL,70,2314,1087,128,422,250,382,178,41,26,1308,395.97
Skal Labissière,PF,22,TOT,22,176,49,6,13,17,43,11,5,6,67,24.73
Jeremy Lamb,SG,26,CHO,79,2250,979,115,330,260,434,172,88,32,1208,380.08
Zach LaVine,SG,23,CHI,63,2171,1135,120,321,375,294,283,60,26,1492,425.02
Jake Layman,SF,24,POR,71,1327,424,59,181,71,217,53,31,30,541,173.45
T.J. Leaf,PF,21,IND,58,522,183,8,31,31,125,24,9,19,225,76.02
Courtney Lee,SG,33,TOT,34,428,129,16,55,21,54,37,21,3,136,51.7
Damion Lee,SG,26,GSW,32,375,127,27,68,22,64,13,13,0,158,52.75
Walt Lemon Jr.,PG,26,CHI,6,167,87,2,5,11,27,30,11,1,86,29.25
Alex Len,C,25,ATL,77,1544,648,74,204,216,424,86,27,69,854,276.07
Kawhi Leonard,SF,27,TOR,60,2040,1129,112,302,426,439,199,106,24,1596,449.85
Meyers Leonard,C,26,POR,61,878,242,50,111,51,233,75,13,9,357,126.48
Jon Leuer,PF,29,DET,41,402,113,1,11,31,97,14,12,4,156,51.17
Caris LeVert,SF,24,BRK,40,1063,483,48,154,123,151,156,42,14,547,180.62
Damian Lillard,PG,28,POR,80,2838,1533,237,643,513,371,551,88,34,2067,616.85
Jeremy Lin,PG,30,TOT,74,1436,541,55,187,210,179,231,47,13,707,226.88
Shaun Livingston,PG,33,GSW,64,967,210,0,2,51,117,114,31,27,258,95.55
Zach Lofton,SG,26,DET,1,4,1,0,1,0,0,0,1,0,0,0.35
Kevon Looney,C,22,GSW,80,1481,347,1,10,105,417,123,46,53,500,186.3
Brook Lopez,C,30,MIL,81,2322,786,187,512,133,396,98,51,179,1009,348.92
Robin Lopez,C,30,CHI,74,1606,535,7,31,123,286,89,11,78,704,210.37
Kevin Love,PF,30,CLE,22,598,283,53,147,114,239,48,6,5,374,129.45
